"","date","common_holiday"
"1448",2005-01-08,"Non-holiday"
"1449",2005-01-09,"Non-holiday"
"1450",2005-01-10,"Non-holiday"
"1451",2005-01-11,"Non-holiday"
"1452",2005-01-12,"Non-holiday"
"1453",2005-01-13,"Non-holiday"
"1454",2005-01-14,"Non-holiday"
"1455",2005-01-15,"Non-holiday"
"1456",2005-01-16,"Non-holiday"
"1457",2005-01-17,"Holiday"
"1458",2005-01-18,"Non-holiday"
"1459",2005-01-19,"Non-holiday"
"1460",2005-01-20,"Non-holiday"
"1461",2005-01-21,"Non-holiday"
"1462",2005-01-22,"Non-holiday"
"1463",2005-01-23,"Non-holiday"
"1464",2005-01-24,"Non-holiday"
"1465",2005-01-25,"Non-holiday"
"1466",2005-01-26,"Non-holiday"
"1467",2005-01-27,"Non-holiday"
"1468",2005-01-28,"Non-holiday"
"1469",2005-01-29,"Non-holiday"
"1470",2005-01-30,"Non-holiday"
"1471",2005-01-31,"Non-holiday"
"1472",2005-02-01,"Non-holiday"
"1473",2005-02-02,"Non-holiday"
"1474",2005-02-03,"Non-holiday"
"1475",2005-02-04,"Non-holiday"
"1476",2005-02-05,"Non-holiday"
"1477",2005-02-06,"Non-holiday"
"1478",2005-02-07,"Non-holiday"
"1479",2005-02-08,"Non-holiday"
"1480",2005-02-09,"Non-holiday"
"1481",2005-02-10,"Non-holiday"
"1482",2005-02-11,"Non-holiday"
"1483",2005-02-12,"Non-holiday"
"1484",2005-02-13,"Non-holiday"
"1485",2005-02-14,"Non-holiday"
"1486",2005-02-15,"Non-holiday"
"1487",2005-02-16,"Non-holiday"
"1488",2005-02-17,"Non-holiday"
"1489",2005-02-18,"Non-holiday"
"1490",2005-02-19,"Non-holiday"
"1491",2005-02-20,"Non-holiday"
"1492",2005-02-21,"Holiday"
"1493",2005-02-22,"Non-holiday"
"1494",2005-02-23,"Non-holiday"
"1495",2005-02-24,"Non-holiday"
"1496",2005-02-25,"Non-holiday"
"1497",2005-02-26,"Non-holiday"
"1498",2005-02-27,"Non-holiday"
"1499",2005-02-28,"Non-holiday"
"1500",2005-03-01,"Non-holiday"
"1501",2005-03-02,"Non-holiday"
"1502",2005-03-03,"Non-holiday"
"1503",2005-03-04,"Non-holiday"
"1504",2005-03-05,"Non-holiday"
"1505",2005-03-06,"Non-holiday"
"1506",2005-03-07,"Non-holiday"
"1507",2005-03-08,"Non-holiday"
"1508",2005-03-09,"Non-holiday"
"1509",2005-03-10,"Non-holiday"
"1510",2005-03-11,"Non-holiday"
"1511",2005-03-12,"Non-holiday"
"1512",2005-03-13,"Non-holiday"
"1513",2005-03-14,"Non-holiday"
"1514",2005-03-15,"Non-holiday"
"1515",2005-03-16,"Non-holiday"
"1516",2005-03-17,"Non-holiday"
"1517",2005-03-18,"Non-holiday"
"1518",2005-03-19,"Non-holiday"
"1519",2005-03-20,"Non-holiday"
"1520",2005-03-21,"Non-holiday"
"1521",2005-03-22,"Non-holiday"
"1522",2005-03-23,"Non-holiday"
"1523",2005-03-24,"Non-holiday"
"1524",2005-03-25,"Non-holiday"
"1525",2005-03-26,"Non-holiday"
"1526",2005-03-27,"Non-holiday"
"1527",2005-03-28,"Non-holiday"
"1528",2005-03-29,"Non-holiday"
"1529",2005-03-30,"Non-holiday"
"1530",2005-03-31,"Non-holiday"
"1531",2005-04-01,"Non-holiday"
"1532",2005-04-02,"Non-holiday"
"1533",2005-04-03,"Non-holiday"
"1534",2005-04-04,"Non-holiday"
"1535",2005-04-05,"Non-holiday"
"1536",2005-04-06,"Non-holiday"
"1537",2005-04-07,"Non-holiday"
"1538",2005-04-08,"Non-holiday"
"1539",2005-04-09,"Non-holiday"
"1540",2005-04-10,"Non-holiday"
"1541",2005-04-11,"Non-holiday"
"1542",2005-04-12,"Non-holiday"
"1543",2005-04-13,"Non-holiday"
"1544",2005-04-14,"Non-holiday"
"1545",2005-04-15,"Non-holiday"
"1546",2005-04-16,"Non-holiday"
"1547",2005-04-17,"Non-holiday"
"1548",2005-04-18,"Non-holiday"
"1549",2005-04-19,"Non-holiday"
"1550",2005-04-20,"Non-holiday"
"1551",2005-04-21,"Non-holiday"
"1552",2005-04-22,"Non-holiday"
"1553",2005-04-23,"Non-holiday"
"1554",2005-04-24,"Non-holiday"
"1555",2005-04-25,"Non-holiday"
"1556",2005-04-26,"Non-holiday"
"1557",2005-04-27,"Non-holiday"
"1558",2005-04-28,"Non-holiday"
"1559",2005-04-29,"Non-holiday"
"1560",2005-04-30,"Non-holiday"
"1561",2005-05-01,"Non-holiday"
"1562",2005-05-02,"Non-holiday"
"1563",2005-05-03,"Non-holiday"
"1564",2005-05-04,"Non-holiday"
"1565",2005-05-05,"Non-holiday"
"1566",2005-05-06,"Non-holiday"
"1567",2005-05-07,"Non-holiday"
"1568",2005-05-08,"Non-holiday"
"1569",2005-05-09,"Non-holiday"
"1570",2005-05-10,"Non-holiday"
"1571",2005-05-11,"Non-holiday"
"1572",2005-05-12,"Non-holiday"
"1573",2005-05-13,"Non-holiday"
"1574",2005-05-14,"Non-holiday"
"1575",2005-05-15,"Non-holiday"
"1576",2005-05-16,"Non-holiday"
"1577",2005-05-17,"Non-holiday"
"1578",2005-05-18,"Non-holiday"
"1579",2005-05-19,"Non-holiday"
"1580",2005-05-20,"Non-holiday"
"1581",2005-05-21,"Non-holiday"
"1582",2005-05-22,"Non-holiday"
"1583",2005-05-23,"Non-holiday"
"1584",2005-05-24,"Non-holiday"
"1585",2005-05-25,"Non-holiday"
"1586",2005-05-26,"Non-holiday"
"1587",2005-05-27,"Non-holiday"
"1588",2005-05-28,"Non-holiday"
"1589",2005-05-29,"Non-holiday"
"1590",2005-05-30,"Holiday"
"1591",2005-05-31,"Non-holiday"
"1592",2005-06-01,"Non-holiday"
"1593",2005-06-02,"Non-holiday"
"1594",2005-06-03,"Non-holiday"
"1595",2005-06-04,"Non-holiday"
"1596",2005-06-05,"Non-holiday"
"1597",2005-06-06,"Non-holiday"
"1598",2005-06-07,"Non-holiday"
"1599",2005-06-08,"Non-holiday"
"1600",2005-06-09,"Non-holiday"
"1601",2005-06-10,"Non-holiday"
"1602",2005-06-11,"Non-holiday"
"1603",2005-06-12,"Non-holiday"
"1604",2005-06-13,"Non-holiday"
"1605",2005-06-14,"Non-holiday"
"1606",2005-06-15,"Non-holiday"
"1607",2005-06-16,"Non-holiday"
"1608",2005-06-17,"Non-holiday"
"1609",2005-06-18,"Non-holiday"
"1610",2005-06-19,"Non-holiday"
"1611",2005-06-20,"Non-holiday"
"1612",2005-06-21,"Non-holiday"
"1613",2005-06-22,"Non-holiday"
"1614",2005-06-23,"Non-holiday"
"1615",2005-06-24,"Non-holiday"
"1616",2005-06-25,"Non-holiday"
"1617",2005-06-26,"Non-holiday"
"1618",2005-06-27,"Non-holiday"
"1619",2005-06-28,"Non-holiday"
"1620",2005-06-29,"Non-holiday"
"1621",2005-06-30,"Non-holiday"
"1622",2005-07-01,"Non-holiday"
"1623",2005-07-02,"Non-holiday"
"1624",2005-07-03,"Non-holiday"
"1625",2005-07-04,"Holiday"
"1626",2005-07-05,"Non-holiday"
"1627",2005-07-06,"Non-holiday"
"1628",2005-07-07,"Non-holiday"
"1629",2005-07-08,"Non-holiday"
"1630",2005-07-09,"Non-holiday"
"1631",2005-07-10,"Non-holiday"
"1632",2005-07-11,"Non-holiday"
"1633",2005-07-12,"Non-holiday"
"1634",2005-07-13,"Non-holiday"
"1635",2005-07-14,"Non-holiday"
"1636",2005-07-15,"Non-holiday"
"1637",2005-07-16,"Non-holiday"
"1638",2005-07-17,"Non-holiday"
"1639",2005-07-18,"Non-holiday"
"1640",2005-07-19,"Non-holiday"
"1641",2005-07-20,"Non-holiday"
"1642",2005-07-21,"Non-holiday"
"1643",2005-07-22,"Non-holiday"
"1644",2005-07-23,"Non-holiday"
"1645",2005-07-24,"Non-holiday"
"1646",2005-07-25,"Non-holiday"
"1647",2005-07-26,"Non-holiday"
"1648",2005-07-27,"Non-holiday"
"1649",2005-07-28,"Non-holiday"
"1650",2005-07-29,"Non-holiday"
"1651",2005-07-30,"Non-holiday"
"1652",2005-07-31,"Non-holiday"
"1653",2005-08-01,"Non-holiday"
"1654",2005-08-02,"Non-holiday"
"1655",2005-08-03,"Non-holiday"
"1656",2005-08-04,"Non-holiday"
"1657",2005-08-05,"Non-holiday"
"1658",2005-08-06,"Non-holiday"
"1659",2005-08-07,"Non-holiday"
"1660",2005-08-08,"Non-holiday"
"1661",2005-08-09,"Non-holiday"
"1662",2005-08-10,"Non-holiday"
"1663",2005-08-11,"Non-holiday"
"1664",2005-08-12,"Non-holiday"
"1665",2005-08-13,"Non-holiday"
"1666",2005-08-14,"Non-holiday"
"1667",2005-08-15,"Non-holiday"
"1668",2005-08-16,"Non-holiday"
"1669",2005-08-17,"Non-holiday"
"1670",2005-08-18,"Non-holiday"
"1671",2005-08-19,"Non-holiday"
"1672",2005-08-20,"Non-holiday"
"1673",2005-08-21,"Non-holiday"
"1674",2005-08-22,"Non-holiday"
"1675",2005-08-23,"Non-holiday"
"1676",2005-08-24,"Non-holiday"
"1677",2005-08-25,"Non-holiday"
"1678",2005-08-26,"Non-holiday"
"1679",2005-08-27,"Non-holiday"
"1680",2005-08-28,"Non-holiday"
"1681",2005-08-29,"Non-holiday"
"1682",2005-08-30,"Non-holiday"
"1683",2005-08-31,"Non-holiday"
"1684",2005-09-01,"Non-holiday"
"1685",2005-09-02,"Non-holiday"
"1686",2005-09-03,"Non-holiday"
"1687",2005-09-04,"Non-holiday"
"1688",2005-09-05,"Holiday"
"1689",2005-09-06,"Non-holiday"
"1690",2005-09-07,"Non-holiday"
"1691",2005-09-08,"Non-holiday"
"1692",2005-09-09,"Non-holiday"
"1693",2005-09-10,"Non-holiday"
"1694",2005-09-11,"Non-holiday"
"1695",2005-09-12,"Non-holiday"
"1696",2005-09-13,"Non-holiday"
"1697",2005-09-14,"Non-holiday"
"1698",2005-09-15,"Non-holiday"
"1699",2005-09-16,"Non-holiday"
"1700",2005-09-17,"Non-holiday"
"1701",2005-09-18,"Non-holiday"
"1702",2005-09-19,"Non-holiday"
"1703",2005-09-20,"Non-holiday"
"1704",2005-09-21,"Non-holiday"
"1705",2005-09-22,"Non-holiday"
"1706",2005-09-23,"Non-holiday"
"1707",2005-09-24,"Non-holiday"
"1708",2005-09-25,"Non-holiday"
"1709",2005-09-26,"Non-holiday"
"1710",2005-09-27,"Non-holiday"
"1711",2005-09-28,"Non-holiday"
"1712",2005-09-29,"Non-holiday"
"1713",2005-09-30,"Non-holiday"
"1714",2005-10-01,"Non-holiday"
"1715",2005-10-02,"Non-holiday"
"1716",2005-10-03,"Non-holiday"
"1717",2005-10-04,"Non-holiday"
"1718",2005-10-05,"Non-holiday"
"1719",2005-10-06,"Non-holiday"
"1720",2005-10-07,"Non-holiday"
"1721",2005-10-08,"Non-holiday"
"1722",2005-10-09,"Non-holiday"
"1723",2005-10-10,"Non-holiday"
"1724",2005-10-11,"Non-holiday"
"1725",2005-10-12,"Non-holiday"
"1726",2005-10-13,"Non-holiday"
"1727",2005-10-14,"Non-holiday"
"1728",2005-10-15,"Non-holiday"
"1729",2005-10-16,"Non-holiday"
"1730",2005-10-17,"Non-holiday"
"1731",2005-10-18,"Non-holiday"
"1732",2005-10-19,"Non-holiday"
"1733",2005-10-20,"Non-holiday"
"1734",2005-10-21,"Non-holiday"
"1735",2005-10-22,"Non-holiday"
"1736",2005-10-23,"Non-holiday"
"1737",2005-10-24,"Non-holiday"
"1738",2005-10-25,"Non-holiday"
"1739",2005-10-26,"Non-holiday"
"1740",2005-10-27,"Non-holiday"
"1741",2005-10-28,"Non-holiday"
"1742",2005-10-29,"Non-holiday"
"1743",2005-10-30,"Non-holiday"
"1744",2005-10-31,"Non-holiday"
"1745",2005-11-01,"Non-holiday"
"1746",2005-11-02,"Non-holiday"
"1747",2005-11-03,"Non-holiday"
"1748",2005-11-04,"Non-holiday"
"1749",2005-11-05,"Non-holiday"
"1750",2005-11-06,"Non-holiday"
"1751",2005-11-07,"Non-holiday"
"1752",2005-11-08,"Non-holiday"
"1753",2005-11-09,"Non-holiday"
"1754",2005-11-10,"Non-holiday"
"1755",2005-11-11,"Non-holiday"
"1756",2005-11-12,"Non-holiday"
"1757",2005-11-13,"Non-holiday"
"1758",2005-11-14,"Non-holiday"
"1759",2005-11-15,"Non-holiday"
"1760",2005-11-16,"Non-holiday"
"1761",2005-11-17,"Non-holiday"
"1762",2005-11-18,"Non-holiday"
"1763",2005-11-19,"Non-holiday"
"1764",2005-11-20,"Non-holiday"
"1765",2005-11-21,"Non-holiday"
"1766",2005-11-22,"Non-holiday"
"1767",2005-11-23,"Non-holiday"
"1768",2005-11-24,"Holiday"
"1769",2005-11-25,"Holiday"
"1770",2005-11-26,"Non-holiday"
"1771",2005-11-27,"Non-holiday"
"1772",2005-11-28,"Non-holiday"
"1773",2005-11-29,"Non-holiday"
"1774",2005-11-30,"Non-holiday"
"1775",2005-12-01,"Non-holiday"
"1776",2005-12-02,"Non-holiday"
"1777",2005-12-03,"Non-holiday"
"1778",2005-12-04,"Non-holiday"
"1779",2005-12-05,"Non-holiday"
"1780",2005-12-06,"Non-holiday"
"1781",2005-12-07,"Non-holiday"
"1782",2005-12-08,"Non-holiday"
"1783",2005-12-09,"Non-holiday"
"1784",2005-12-10,"Non-holiday"
"1785",2005-12-11,"Non-holiday"
"1786",2005-12-12,"Non-holiday"
"1787",2005-12-13,"Non-holiday"
"1788",2005-12-14,"Non-holiday"
"1789",2005-12-15,"Non-holiday"
"1790",2005-12-16,"Non-holiday"
"1791",2005-12-17,"Non-holiday"
"1792",2005-12-18,"Non-holiday"
"1793",2005-12-19,"Non-holiday"
"1794",2005-12-20,"Non-holiday"
"1795",2005-12-21,"Non-holiday"
"1796",2005-12-22,"Non-holiday"
"1797",2005-12-23,"Non-holiday"
"1798",2005-12-24,"Holiday"
"1799",2005-12-25,"Holiday"
"1800",2005-12-26,"Holiday"
"1801",2005-12-27,"Non-holiday"
"1802",2005-12-28,"Non-holiday"
"1803",2005-12-29,"Non-holiday"
"1804",2005-12-30,"Non-holiday"
"1805",2005-12-31,"Non-holiday"
"1806",2006-01-01,"Holiday"
"1807",2006-01-02,"Holiday"
"1808",2006-01-03,"Non-holiday"
"1809",2006-01-04,"Non-holiday"
"1810",2006-01-05,"Non-holiday"
"1811",2006-01-06,"Non-holiday"
"1812",2006-01-07,"Non-holiday"
"1813",2006-01-08,"Non-holiday"
"1814",2006-01-09,"Non-holiday"
"1815",2006-01-10,"Non-holiday"
"1816",2006-01-11,"Non-holiday"
"1817",2006-01-12,"Non-holiday"
"1818",2006-01-13,"Non-holiday"
"1819",2006-01-14,"Non-holiday"
"1820",2006-01-15,"Non-holiday"
"1821",2006-01-16,"Holiday"
"1822",2006-01-17,"Non-holiday"
"1823",2006-01-18,"Non-holiday"
"1824",2006-01-19,"Non-holiday"
"1825",2006-01-20,"Non-holiday"
"1826",2006-01-21,"Non-holiday"
"1827",2006-01-22,"Non-holiday"
"1828",2006-01-23,"Non-holiday"
"1829",2006-01-24,"Non-holiday"
"1830",2006-01-25,"Non-holiday"
"1831",2006-01-26,"Non-holiday"
"1832",2006-01-27,"Non-holiday"
"1833",2006-01-28,"Non-holiday"
"1834",2006-01-29,"Non-holiday"
"1835",2006-01-30,"Non-holiday"
"1836",2006-01-31,"Non-holiday"
"1837",2006-02-01,"Non-holiday"
"1838",2006-02-02,"Non-holiday"
"1839",2006-02-03,"Non-holiday"
"1840",2006-02-04,"Non-holiday"
"1841",2006-02-05,"Non-holiday"
"1842",2006-02-06,"Non-holiday"
"1843",2006-02-07,"Non-holiday"
"1844",2006-02-08,"Non-holiday"
"1845",2006-02-09,"Non-holiday"
"1846",2006-02-10,"Non-holiday"
"1847",2006-02-11,"Non-holiday"
"1848",2006-02-12,"Non-holiday"
"1849",2006-02-13,"Non-holiday"
"1850",2006-02-14,"Non-holiday"
"1851",2006-02-15,"Non-holiday"
"1852",2006-02-16,"Non-holiday"
"1853",2006-02-17,"Non-holiday"
"1854",2006-02-18,"Non-holiday"
"1855",2006-02-19,"Non-holiday"
"1856",2006-02-20,"Holiday"
"1857",2006-02-21,"Non-holiday"
"1858",2006-02-22,"Non-holiday"
"1859",2006-02-23,"Non-holiday"
"1860",2006-02-24,"Non-holiday"
"1861",2006-02-25,"Non-holiday"
"1862",2006-02-26,"Non-holiday"
"1863",2006-02-27,"Non-holiday"
"1864",2006-02-28,"Non-holiday"
"1865",2006-03-01,"Non-holiday"
"1866",2006-03-02,"Non-holiday"
"1867",2006-03-03,"Non-holiday"
"1868",2006-03-04,"Non-holiday"
"1869",2006-03-05,"Non-holiday"
"1870",2006-03-06,"Non-holiday"
"1871",2006-03-07,"Non-holiday"
"1872",2006-03-08,"Non-holiday"
"1873",2006-03-09,"Non-holiday"
"1874",2006-03-10,"Non-holiday"
"1875",2006-03-11,"Non-holiday"
"1876",2006-03-12,"Non-holiday"
"1877",2006-03-13,"Non-holiday"
"1878",2006-03-14,"Non-holiday"
"1879",2006-03-15,"Non-holiday"
"1880",2006-03-16,"Non-holiday"
"1881",2006-03-17,"Non-holiday"
"1882",2006-03-18,"Non-holiday"
"1883",2006-03-19,"Non-holiday"
"1884",2006-03-20,"Non-holiday"
"1885",2006-03-21,"Non-holiday"
"1886",2006-03-22,"Non-holiday"
"1887",2006-03-23,"Non-holiday"
"1888",2006-03-24,"Non-holiday"
"1889",2006-03-25,"Non-holiday"
"1890",2006-03-26,"Non-holiday"
"1891",2006-03-27,"Non-holiday"
"1892",2006-03-28,"Non-holiday"
"1893",2006-03-29,"Non-holiday"
"1894",2006-03-30,"Non-holiday"
"1895",2006-03-31,"Non-holiday"
"1896",2006-04-01,"Non-holiday"
"1897",2006-04-02,"Non-holiday"
"1898",2006-04-03,"Non-holiday"
"1899",2006-04-04,"Non-holiday"
"1900",2006-04-05,"Non-holiday"
"1901",2006-04-06,"Non-holiday"
"1902",2006-04-07,"Non-holiday"
"1903",2006-04-08,"Non-holiday"
"1904",2006-04-09,"Non-holiday"
"1905",2006-04-10,"Non-holiday"
"1906",2006-04-11,"Non-holiday"
"1907",2006-04-12,"Non-holiday"
"1908",2006-04-13,"Non-holiday"
"1909",2006-04-14,"Non-holiday"
"1910",2006-04-15,"Non-holiday"
"1911",2006-04-16,"Non-holiday"
"1912",2006-04-17,"Non-holiday"
"1913",2006-04-18,"Non-holiday"
"1914",2006-04-19,"Non-holiday"
"1915",2006-04-20,"Non-holiday"
"1916",2006-04-21,"Non-holiday"
"1917",2006-04-22,"Non-holiday"
"1918",2006-04-23,"Non-holiday"
"1919",2006-04-24,"Non-holiday"
"1920",2006-04-25,"Non-holiday"
"1921",2006-04-26,"Non-holiday"
"1922",2006-04-27,"Non-holiday"
"1923",2006-04-28,"Non-holiday"
"1924",2006-04-29,"Non-holiday"
"1925",2006-04-30,"Non-holiday"
"1926",2006-05-01,"Non-holiday"
"1927",2006-05-02,"Non-holiday"
"1928",2006-05-03,"Non-holiday"
"1929",2006-05-04,"Non-holiday"
"1930",2006-05-05,"Non-holiday"
"1931",2006-05-06,"Non-holiday"
"1932",2006-05-07,"Non-holiday"
"1933",2006-05-08,"Non-holiday"
"1934",2006-05-09,"Non-holiday"
"1935",2006-05-10,"Non-holiday"
"1936",2006-05-11,"Non-holiday"
"1937",2006-05-12,"Non-holiday"
"1938",2006-05-13,"Non-holiday"
"1939",2006-05-14,"Non-holiday"
"1940",2006-05-15,"Non-holiday"
"1941",2006-05-16,"Non-holiday"
"1942",2006-05-17,"Non-holiday"
"1943",2006-05-18,"Non-holiday"
"1944",2006-05-19,"Non-holiday"
"1945",2006-05-20,"Non-holiday"
"1946",2006-05-21,"Non-holiday"
"1947",2006-05-22,"Non-holiday"
"1948",2006-05-23,"Non-holiday"
"1949",2006-05-24,"Non-holiday"
"1950",2006-05-25,"Non-holiday"
"1951",2006-05-26,"Non-holiday"
"1952",2006-05-27,"Non-holiday"
"1953",2006-05-28,"Non-holiday"
"1954",2006-05-29,"Holiday"
"1955",2006-05-30,"Non-holiday"
"1956",2006-05-31,"Non-holiday"
"1957",2006-06-01,"Non-holiday"
"1958",2006-06-02,"Non-holiday"
"1959",2006-06-03,"Non-holiday"
"1960",2006-06-04,"Non-holiday"
"1961",2006-06-05,"Non-holiday"
"1962",2006-06-06,"Non-holiday"
"1963",2006-06-07,"Non-holiday"
"1964",2006-06-08,"Non-holiday"
"1965",2006-06-09,"Non-holiday"
"1966",2006-06-10,"Non-holiday"
"1967",2006-06-11,"Non-holiday"
"1968",2006-06-12,"Non-holiday"
"1969",2006-06-13,"Non-holiday"
"1970",2006-06-14,"Non-holiday"
"1971",2006-06-15,"Non-holiday"
"1972",2006-06-16,"Non-holiday"
"1973",2006-06-17,"Non-holiday"
"1974",2006-06-18,"Non-holiday"
"1975",2006-06-19,"Non-holiday"
"1976",2006-06-20,"Non-holiday"
"1977",2006-06-21,"Non-holiday"
"1978",2006-06-22,"Non-holiday"
"1979",2006-06-23,"Non-holiday"
"1980",2006-06-24,"Non-holiday"
"1981",2006-06-25,"Non-holiday"
"1982",2006-06-26,"Non-holiday"
"1983",2006-06-27,"Non-holiday"
"1984",2006-06-28,"Non-holiday"
"1985",2006-06-29,"Non-holiday"
"1986",2006-06-30,"Non-holiday"
"1987",2006-07-01,"Non-holiday"
"1988",2006-07-02,"Non-holiday"
"1989",2006-07-03,"Holiday"
"1990",2006-07-04,"Holiday"
"1991",2006-07-05,"Non-holiday"
"1992",2006-07-06,"Non-holiday"
"1993",2006-07-07,"Non-holiday"
"1994",2006-07-08,"Non-holiday"
"1995",2006-07-09,"Non-holiday"
"1996",2006-07-10,"Non-holiday"
"1997",2006-07-11,"Non-holiday"
"1998",2006-07-12,"Non-holiday"
"1999",2006-07-13,"Non-holiday"
"2000",2006-07-14,"Non-holiday"
"2001",2006-07-15,"Non-holiday"
"2002",2006-07-16,"Non-holiday"
"2003",2006-07-17,"Non-holiday"
"2004",2006-07-18,"Non-holiday"
"2005",2006-07-19,"Non-holiday"
"2006",2006-07-20,"Non-holiday"
"2007",2006-07-21,"Non-holiday"
"2008",2006-07-22,"Non-holiday"
"2009",2006-07-23,"Non-holiday"
"2010",2006-07-24,"Non-holiday"
"2011",2006-07-25,"Non-holiday"
"2012",2006-07-26,"Non-holiday"
"2013",2006-07-27,"Non-holiday"
"2014",2006-07-28,"Non-holiday"
"2015",2006-07-29,"Non-holiday"
"2016",2006-07-30,"Non-holiday"
"2017",2006-07-31,"Non-holiday"
"2018",2006-08-01,"Non-holiday"
"2019",2006-08-02,"Non-holiday"
"2020",2006-08-03,"Non-holiday"
"2021",2006-08-04,"Non-holiday"
"2022",2006-08-05,"Non-holiday"
"2023",2006-08-06,"Non-holiday"
"2024",2006-08-07,"Non-holiday"
"2025",2006-08-08,"Non-holiday"
"2026",2006-08-09,"Non-holiday"
"2027",2006-08-10,"Non-holiday"
"2028",2006-08-11,"Non-holiday"
"2029",2006-08-12,"Non-holiday"
"2030",2006-08-13,"Non-holiday"
"2031",2006-08-14,"Non-holiday"
"2032",2006-08-15,"Non-holiday"
"2033",2006-08-16,"Non-holiday"
"2034",2006-08-17,"Non-holiday"
"2035",2006-08-18,"Non-holiday"
"2036",2006-08-19,"Non-holiday"
"2037",2006-08-20,"Non-holiday"
"2038",2006-08-21,"Non-holiday"
"2039",2006-08-22,"Non-holiday"
"2040",2006-08-23,"Non-holiday"
"2041",2006-08-24,"Non-holiday"
"2042",2006-08-25,"Non-holiday"
"2043",2006-08-26,"Non-holiday"
"2044",2006-08-27,"Non-holiday"
"2045",2006-08-28,"Non-holiday"
"2046",2006-08-29,"Non-holiday"
"2047",2006-08-30,"Non-holiday"
"2048",2006-08-31,"Non-holiday"
"2049",2006-09-01,"Non-holiday"
"2050",2006-09-02,"Non-holiday"
"2051",2006-09-03,"Non-holiday"
"2052",2006-09-04,"Holiday"
"2053",2006-09-05,"Non-holiday"
"2054",2006-09-06,"Non-holiday"
"2055",2006-09-07,"Non-holiday"
"2056",2006-09-08,"Non-holiday"
"2057",2006-09-09,"Non-holiday"
"2058",2006-09-10,"Non-holiday"
"2059",2006-09-11,"Non-holiday"
"2060",2006-09-12,"Non-holiday"
"2061",2006-09-13,"Non-holiday"
"2062",2006-09-14,"Non-holiday"
"2063",2006-09-15,"Non-holiday"
"2064",2006-09-16,"Non-holiday"
"2065",2006-09-17,"Non-holiday"
"2066",2006-09-18,"Non-holiday"
"2067",2006-09-19,"Non-holiday"
"2068",2006-09-20,"Non-holiday"
"2069",2006-09-21,"Non-holiday"
"2070",2006-09-22,"Non-holiday"
"2071",2006-09-23,"Non-holiday"
"2072",2006-09-24,"Non-holiday"
"2073",2006-09-25,"Non-holiday"
"2074",2006-09-26,"Non-holiday"
"2075",2006-09-27,"Non-holiday"
"2076",2006-09-28,"Non-holiday"
"2077",2006-09-29,"Non-holiday"
"2078",2006-09-30,"Non-holiday"
"2079",2006-10-01,"Non-holiday"
"2080",2006-10-02,"Non-holiday"
"2081",2006-10-03,"Non-holiday"
"2082",2006-10-04,"Non-holiday"
"2083",2006-10-05,"Non-holiday"
"2084",2006-10-06,"Non-holiday"
"2085",2006-10-07,"Non-holiday"
"2086",2006-10-08,"Non-holiday"
"2087",2006-10-09,"Non-holiday"
"2088",2006-10-10,"Non-holiday"
"2089",2006-10-11,"Non-holiday"
"2090",2006-10-12,"Non-holiday"
"2091",2006-10-13,"Non-holiday"
"2092",2006-10-14,"Non-holiday"
"2093",2006-10-15,"Non-holiday"
"2094",2006-10-16,"Non-holiday"
"2095",2006-10-17,"Non-holiday"
"2096",2006-10-18,"Non-holiday"
"2097",2006-10-19,"Non-holiday"
"2098",2006-10-20,"Non-holiday"
"2099",2006-10-21,"Non-holiday"
"2100",2006-10-22,"Non-holiday"
"2101",2006-10-23,"Non-holiday"
"2102",2006-10-24,"Non-holiday"
"2103",2006-10-25,"Non-holiday"
"2104",2006-10-26,"Non-holiday"
"2105",2006-10-27,"Non-holiday"
"2106",2006-10-28,"Non-holiday"
"2107",2006-10-29,"Non-holiday"
"2108",2006-10-30,"Non-holiday"
"2109",2006-10-31,"Non-holiday"
"2110",2006-11-01,"Non-holiday"
"2111",2006-11-02,"Non-holiday"
"2112",2006-11-03,"Non-holiday"
"2113",2006-11-04,"Non-holiday"
"2114",2006-11-05,"Non-holiday"
"2115",2006-11-06,"Non-holiday"
"2116",2006-11-07,"Non-holiday"
"2117",2006-11-08,"Non-holiday"
"2118",2006-11-09,"Non-holiday"
"2119",2006-11-10,"Non-holiday"
"2120",2006-11-11,"Non-holiday"
"2121",2006-11-12,"Non-holiday"
"2122",2006-11-13,"Non-holiday"
"2123",2006-11-14,"Non-holiday"
"2124",2006-11-15,"Non-holiday"
"2125",2006-11-16,"Non-holiday"
"2126",2006-11-17,"Non-holiday"
"2127",2006-11-18,"Non-holiday"
"2128",2006-11-19,"Non-holiday"
"2129",2006-11-20,"Non-holiday"
"2130",2006-11-21,"Non-holiday"
"2131",2006-11-22,"Non-holiday"
"2132",2006-11-23,"Holiday"
"2133",2006-11-24,"Holiday"
"2134",2006-11-25,"Non-holiday"
"2135",2006-11-26,"Non-holiday"
"2136",2006-11-27,"Non-holiday"
"2137",2006-11-28,"Non-holiday"
"2138",2006-11-29,"Non-holiday"
"2139",2006-11-30,"Non-holiday"
"2140",2006-12-01,"Non-holiday"
"2141",2006-12-02,"Non-holiday"
"2142",2006-12-03,"Non-holiday"
"2143",2006-12-04,"Non-holiday"
"2144",2006-12-05,"Non-holiday"
"2145",2006-12-06,"Non-holiday"
"2146",2006-12-07,"Non-holiday"
"2147",2006-12-08,"Non-holiday"
"2148",2006-12-09,"Non-holiday"
